topic_id,topic_name,type,question,option_a,option_b,option_c,option_d,correct,explanation
intro,Введение в платформу,single,Какова основная цель платформы для обучения навыкам программирования в ИБ?,Продажа антивирусного ПО,Развитие практических навыков безопасного программирования,Хранение личных данных пользователей,Автоматический взлом систем,B,Платформа создаётся для обучения — формирования навыков написания безопасного кода и понимания угроз ИБ.
intro,Введение в платформу,single,Что из перечисленного является ключевым элементом обучающей платформы по ИБ?,Форум для обсуждения фильмов,Практические задания в изолированной среде (sandbox),Магазин лицензий,Социальная сеть,B,Sandbox — изолированная среда — позволяет безопасно практиковаться без риска реального ущерба.
intro,Введение в платформу,single,Какой подход к обучению наиболее эффективен на платформе ИБ?,Только теоретические лекции,Только видео-уроки,Практика + теория + разбор реальных уязвимостей,Зазубривание терминов,C,Комбинация теории с практикой на реальных примерах даёт наилучший образовательный эффект.
intro,Введение в платформу,multi,Какие модули должны входить в платформу обучения ИБ? (несколько ответов),Практические CTF-задания,Система тестирования знаний,Интернет-магазин одежды,Видеокурсы по безопасному коду,ACD,Платформа ИБ должна включать практику (CTF) тесты знаний и обучающий контент — магазин одежды не относится к ИБ.
intro,Введение в платформу,single,Аббревиатура CTF в контексте ИБ означает:,Capture The Flag,Code Test Framework,Cyber Transfer File,Critical Task Finder,A,CTF (Capture The Flag) — соревновательный формат заданий по ИБ где нужно найти скрытый флаг используя технические навыки.
intro,Введение в платформу,text,Как называется принцип при котором пользователь получает только те права которые необходимы для работы?,,,,,принцип наименьших привилегий,Принцип наименьших привилегий (Least Privilege) — основа безопасной архитектуры: пользователь не должен иметь прав сверх необходимого.
intro,Введение в платформу,single,Что такое gamification в контексте образовательной платформы?,Разработка компьютерных игр,Применение игровых механик (баллы рейтинги значки) в обучении,Тестирование безопасности игровых серверов,Создание игрового движка,B,Геймификация повышает вовлечённость и мотивацию обучающихся через баллы достижения и соревновательность.
intro,Введение в платформу,single,Для чего на платформе нужна система прогресса пользователя?,Для рекламы,Для отслеживания изученных тем и мотивации к обучению,Для хранения паролей,Для блокировки аккаунта,B,Трекинг прогресса помогает учащемуся понимать что уже изучено и что осталось — это ключевая функция LMS.
intro,Введение в платформу,multi,Какие характеристики важны при проектировании учебной платформы? (несколько ответов),Удобный интерфейс (UX),Масштабируемость архитектуры,Цвет логотипа,Безопасность хранения данных пользователей,ABD,Хороший UX масштабируемость и безопасность данных — фундаментальные требования к любой серьёзной образовательной платформе.
intro,Введение в платформу,single,Какой тип задач лучше всего развивает практические навыки взлома и защиты?,Тест с вариантами ответа,Эссе на свободную тему,Реальные уязвимые машины и CTF-задания,Просмотр презентаций,C,Практика на реальных уязвимых окружениях даёт опыт недостижимый только через теорию.
webdev,Веб-разработка и ИБ,single,Какая атака позволяет внедрить вредоносный скрипт на страницу сайта?,CSRF,XSS (Cross-Site Scripting),SQL-инъекция,Man-in-the-Middle,B,XSS — внедрение JavaScript в страницу через незащищённые поля ввода что позволяет красть куки и сессии.
webdev,Веб-разработка и ИБ,single,Что такое SQL-инъекция?,Добавление CSS стилей,Внедрение вредоносного SQL-кода через пользовательский ввод,Перехват HTTP-запроса,Атака на DNS-сервер,B,SQL-инъекция — одна из самых распространённых уязвимостей: атакующий вводит SQL-код в форму и управляет базой данных.
webdev,Веб-разработка и ИБ,text,Как называется заголовок HTTP защищающий от XSS-атак?,,,,,Content-Security-Policy,Заголовок Content-Security-Policy (CSP) ограничивает источники из которых браузер может загружать ресурсы защищая от XSS.
webdev,Веб-разработка и ИБ,single,Что делает функция htmlspecialchars() в PHP?,Шифрует пароль,Экранирует HTML-символы предотвращая XSS,Хеширует строку,Удаляет теги из строки,B,htmlspecialchars() преобразует < > & в HTML-сущности — это стандартный способ защиты от XSS при выводе данных.
webdev,Веб-разработка и ИБ,single,Какой метод HTTP следует использовать для отправки чувствительных данных (пароль)?,GET,HEAD,POST,OPTIONS,C,GET передаёт данные в URL (видны в логах и истории). POST отправляет в теле запроса — обязательно в связке с HTTPS.
webdev,Веб-разработка и ИБ,multi,Какие меры защищают веб-приложение от SQL-инъекций? (несколько ответов),Параметризованные запросы (prepared statements),Валидация и санитизация входных данных,Хранение паролей в открытом виде,ORM с экранированием,ABD,Prepared statements ORM и валидация не дают злоумышленнику внедрить SQL-код — это три кита защиты от инъекций.
webdev,Веб-разработка и ИБ,single,Что такое CSRF-атака?,Межсайтовый скриптинг,Подделка межсайтового запроса от имени авторизованного пользователя,Перебор паролей,Сканирование портов,B,CSRF заставляет браузер жертвы отправить запрос на сторонний сайт используя активную сессию пользователя.
webdev,Веб-разработка и ИБ,single,Что такое HTTPS?,Протокол ускорения сайта,HTTP с шифрованием через TLS/SSL,Протокол передачи файлов,Язык разметки,B,HTTPS шифрует трафик между браузером и сервером защищая от перехвата (MITM) и подмены данных.
webdev,Веб-разработка и ИБ,text,Как называется уязвимость когда пользователь может получить файлы за пределами разрешённой директории?,,,,,path traversal,Path Traversal (обход пути) — уязвимость при которой атакующий использует ../ для выхода за пределы разрешённой директории.
webdev,Веб-разработка и ИБ,single,Какой заголовок HTTP предотвращает загрузку сайта в iframe (защита от clickjacking)?,Strict-Transport-Security,X-Content-Type-Options,X-Frame-Options,Access-Control-Allow-Origin,C,X-Frame-Options: DENY запрещает встраивание страницы в iframe что предотвращает атаки кликджекинга.
crypto,Криптография в ИБ,single,Что такое симметричное шифрование?,Разные ключи для шифрования и расшифрования,Один ключ для шифрования и расшифрования,Шифрование без ключа,Хеширование данных,B,В симметричном шифровании один и тот же ключ используется для шифрования и расшифрования (AES DES).
crypto,Криптография в ИБ,single,Какой алгоритм является современным стандартом симметричного шифрования?,DES,3DES,AES,RC4,C,AES (Advanced Encryption Standard) — текущий стандарт симметричного шифрования одобренный NIST в 2001 году.
crypto,Криптография в ИБ,single,Что такое хеш-функция?,Алгоритм шифрования с ключом,Функция однонаправленного преобразования данных в строку фиксированной длины,Протокол обмена ключами,Алгоритм сжатия,B,Хеш-функция необратима: по хешу нельзя восстановить исходные данные — используется для хранения паролей и проверки целостности.
crypto,Криптография в ИБ,text,Как называется случайная строка добавляемая к паролю перед хешированием для защиты от rainbow-таблиц?,,,,,соль,Salt (соль) — случайная строка добавляемая к паролю перед хешированием. Делает rainbow-таблицы бесполезными.
crypto,Криптография в ИБ,single,Какой алгоритм хеширования паролей рекомендуется использовать?,MD5,SHA-1,bcrypt или Argon2,CRC32,C,MD5 и SHA-1 устарели для хранения паролей. bcrypt и Argon2 специально разработаны для медленного хеширования паролей.
crypto,Криптография в ИБ,multi,Какие свойства должна иметь криптографически стойкая хеш-функция? (несколько ответов),Детерминированность (одинаковый вход — одинаковый выход),Необратимость,Устойчивость к коллизиям,Всегда быстрое вычисление,ABC,Хеш-функция должна быть детерминированной необратимой и стойкой к коллизиям. Для паролей наоборот нужна медленность — поэтому D неверно.
crypto,Криптография в ИБ,single,Что такое RSA?,Симметричный алгоритм шифрования,Асимметричный алгоритм с открытым и закрытым ключом,Протокол аутентификации,Алгоритм хеширования,B,RSA — алгоритм асимметричного шифрования основанный на сложности факторизации больших чисел. Использует пару ключей: публичный и приватный.
crypto,Криптография в ИБ,single,Что такое цифровая подпись?,Рукописная подпись в электронном виде,Криптографический механизм подтверждения подлинности и целостности данных,Метод шифрования файлов,Тип SSL-сертификата,B,Цифровая подпись создаётся закрытым ключом и проверяется открытым — подтверждает что данные не изменены и подписаны конкретным лицом.
crypto,Криптография в ИБ,single,Для чего используется протокол TLS?,Для сжатия трафика,Для шифрования и аутентификации соединения в сети,Для ускорения DNS-запросов,Для маршрутизации пакетов,B,TLS (Transport Layer Security) обеспечивает шифрование целостность и аутентификацию при передаче данных — основа HTTPS.
crypto,Криптография в ИБ,text,Как расшифровывается PKI в контексте криптографии?,,,,,инфраструктура открытых ключей,PKI (Public Key Infrastructure) — инфраструктура открытых ключей: система управления цифровыми сертификатами и ключами.
vulns,Уязвимости и атаки,single,Что такое уязвимость нулевого дня (0-day)?,Уязвимость обнаруженная в первый день работы программы,Уязвимость для которой ещё не существует официального патча,Ошибка в дате системы,Атака проводимая в полночь,B,0-day — уязвимость неизвестная разработчику или публике для которой нет патча. Наиболее опасна так как защита отсутствует.
vulns,Уязвимости и атаки,single,Что такое Buffer Overflow (переполнение буфера)?,Перегрузка сетевого буфера,Запись данных за пределы выделенного буфера памяти с возможностью выполнения кода,Ошибка в базе данных,Превышение лимита HTTP-запросов,B,Buffer Overflow позволяет атакующему перезаписать стек и выполнить произвольный код — классическая уязвимость в C/C++.
vulns,Уязвимости и атаки,multi,Что входит в OWASP Top 10? (несколько ответов),Инъекции (SQL/Command),Сломанная аутентификация,Медленная загрузка страниц,Небезопасная десериализация,ABD,OWASP Top 10 включает критические уязвимости ИБ: инъекции сломанную аутентификацию небезопасную десериализацию — но не проблемы производительности.
vulns,Уязвимости и атаки,single,Что такое фаззинг (fuzzing) в контексте ИБ?,Замутнение изображений,Метод тестирования путём подачи случайных/некорректных данных на вход программы,Атака на Wi-Fi,Техника социальной инженерии,B,Фаззинг автоматически генерирует некорректные входные данные для поиска необработанных ошибок и уязвимостей в программе.
vulns,Уязвимости и атаки,text,Как называется атака при которой злоумышленник встраивается между двумя сторонами и перехватывает трафик?,,,,,man-in-the-middle,Man-in-the-Middle (MITM) — атакующий незаметно перехватывает и может изменять трафик между двумя сторонами.
vulns,Уязвимости и атаки,single,Что такое социальная инженерия в ИБ?,Разработка социальных сетей,Манипулирование людьми для получения конфиденциальной информации,Изучение социального поведения,Анализ данных социальных сетей,B,Социальная инженерия эксплуатирует человеческий фактор — самое слабое звено в безопасности. Пример: фишинговые письма.
vulns,Уязвимости и атаки,single,Что такое DoS-атака?,Атака на DNS-сервер,Атака направленная на отказ в обслуживании путём перегрузки ресурса,Атака через физический доступ,Подбор пароля,B,DoS (Denial of Service) перегружает сервер запросами делая его недоступным. DDoS — распределённая версия с множеством источников.
vulns,Уязвимости и атаки,single,Что такое CVE?,Тип вредоносного ПО,Стандартизированный идентификатор публично известных уязвимостей,Протокол шифрования,Инструмент пентеста,B,CVE (Common Vulnerabilities and Exposures) — база данных уязвимостей с уникальными идентификаторами вида CVE-ГОД-НОМЕР.
vulns,Уязвимости и атаки,multi,Какие техники используются при пентесте? (несколько ответов),Разведка (reconnaissance),Сканирование портов и сервисов,Физическое уничтожение сервера,Эксплуатация уязвимостей,ABD,Пентест включает разведку сканирование и эксплуатацию — всё в рамках соглашения с заказчиком. Физическое уничтожение не является методом пентеста.
vulns,Уязвимости и атаки,single,Что такое reverse shell?,Оболочка работающая в обратном направлении к атакующему,Интерфейс восстановления системы,Тип антивируса,Команда для перезапуска сервиса,A,Reverse shell — жертва сама инициирует подключение к атакующему что позволяет обходить firewall блокирующий входящие соединения.
seccode,Безопасное программирование,single,Что такое принцип Defence in Depth?,Один мощный защитный барьер,Многоуровневая защита: несколько независимых слоёв безопасности,Защита только периметра сети,Шифрование всех данных,B,Defence in Depth предполагает несколько уровней защиты: даже если один слой прорван другие сдерживают атакующего.
seccode,Безопасное программирование,single,Что такое SAST?,Динамическое тестирование безопасности,Статический анализ кода на уязвимости без его выполнения,Сканирование сети,Анализ вредоносного ПО,B,SAST (Static Application Security Testing) анализирует исходный код без запуска — находит уязвимости на этапе разработки.
seccode,Безопасное программирование,text,Как называется практика встраивания безопасности на всех этапах разработки ПО?,,,,,DevSecOps,DevSecOps — методология интеграции безопасности в процесс CI/CD: безопасность проверяется на каждом этапе разработки и деплоя.
seccode,Безопасное программирование,multi,Какие практики относятся к безопасному программированию? (несколько ответов),Валидация всех входных данных,Использование актуальных зависимостей без известных CVE,Хранение паролей в открытом виде в БД,Минимизация прав доступа (least privilege),ABD,Безопасное программирование: валидация входных данных актуальные зависимости и минимальные привилегии — хранение паролей открытым текстом категорически запрещено.
seccode,Безопасное программирование,single,Что такое code review в контексте ИБ?,Просмотр чужого кода из любопытства,Систематическая проверка кода коллегами для выявления уязвимостей и ошибок,Автоматическое тестирование,Компиляция кода,B,Code review — один из наиболее эффективных способов найти уязвимости до деплоя. Человеческий взгляд замечает логические ошибки которые пропускают автоматические инструменты.
seccode,Безопасное программирование,single,Что такое dependency confusion атака?,Атака на конфигурацию зависимостей,Внедрение вредоносного пакета с именем внутреннего пакета в публичный репозиторий,Атака на Git-репозиторий,Переполнение зависимостей,B,Dependency confusion — атакующий публикует пакет с тем же именем что и внутренний пакет компании в публичный npm/PyPI — менеджер устанавливает его вместо внутреннего.
seccode,Безопасное программирование,single,Для чего используется Content Security Policy (CSP)?,Управление контентом сайта,Ограничение источников загружаемых ресурсов для защиты от XSS,Кэширование контента,Сжатие CSS-файлов,B,CSP — HTTP-заголовок позволяющий точно указать откуда браузер может загружать скрипты стили и другие ресурсы.
seccode,Безопасное программирование,single,Что такое threat modeling (моделирование угроз)?,Создание 3D-модели злоумышленника,Структурированный процесс выявления угроз в системе на этапе проектирования,Обучение на примерах атак,Сканирование уязвимостей в runtime,B,Threat modeling (STRIDE PASTA DREAD) позволяет выявить угрозы ещё на этапе проектирования — значительно дешевле чем исправление в production.
seccode,Безопасное программирование,multi,Что входит в концепцию CIA Triad? (несколько ответов),Confidentiality (конфиденциальность),Integrity (целостность),Authentication (аутентификация),Availability (доступность),ABD,CIA Triad — три основополагающих принципа ИБ: конфиденциальность целостность и доступность. Аутентификация важна но не входит в базовую триаду.
seccode,Безопасное программирование,text,Как называется процесс проверки подлинности пользователя?,,,,,аутентификация,Аутентификация — проверка что пользователь является тем за кого себя выдаёт (пароль биометрия токен). Отличается от авторизации (что он может делать).
platform,Архитектура платформы,single,Какую роль выполняет API Gateway в архитектуре платформы ИБ?,Хранение данных пользователей,Единая точка входа для маршрутизации аутентификации и rate limiting,Рендеринг интерфейса,Запуск учебных задач,B,API Gateway централизует: маршрутизацию аутентификацию ограничение частоты запросов логирование — снижая сложность микросервисов.
platform,Архитектура платформы,single,Для чего в платформе нужен изолированный sandbox?,Ускорения загрузки курсов,Безопасного выполнения кода учеников без риска для основной инфраструктуры,Хранения медиафайлов,Авторизации пользователей,B,Sandbox изолирует выполнение потенциально вредоносного или некорректного кода учеников — защищает инфраструктуру платформы.
platform,Архитектура платформы,multi,Какие технологии подходят для изоляции учебной среды? (несколько ответов),Docker-контейнеры,Виртуальные машины (VM),Обычные папки на сервере,gVisor / Kata Containers,ABD,Docker VM и усиленные runtime (gVisor Kata) обеспечивают изоляцию. Обычные папки без изоляции опасны для выполнения ненадёжного кода.
platform,Архитектура платформы,single,Что такое rate limiting в контексте API безопасности?,Ограничение размера ответа,Ограничение количества запросов от одного клиента за период времени,Шифрование запросов,Кэширование ответов,B,Rate limiting предотвращает brute-force DoS-атаки и злоупотребление API путём ограничения числа запросов с одного IP или токена.
platform,Архитектура платформы,text,Как называется техника хранения данных аутентификации на стороне клиента в виде подписанного токена?,,,,,JWT,JWT (JSON Web Token) — стандарт для передачи данных аутентификации в подписанном виде. Сервер проверяет подпись без обращения к базе.
platform,Архитектура платформы,single,Что такое RBAC в системах управления доступом?,Role-Based Access Control — управление доступом на основе ролей,Remote Backup And Copy,Real-time Binary Access Control,Recursive Block Access Cache,A,RBAC назначает права не конкретным пользователям а ролям (admin moderator student) — упрощает управление правами при масштабировании.
platform,Архитектура платформы,single,Зачем платформе нужна система логирования и мониторинга?,Для красивой статистики,Для обнаружения инцидентов аномалий и аудита действий пользователей,Для ускорения работы,Для сжатия данных,B,Логирование и мониторинг позволяют обнаруживать атаки аномальное поведение и проводить расследования инцидентов.
platform,Архитектура платформы,single,Что такое WAF в защите веб-платформы?,Web Application Firewall — фильтрация вредоносных HTTP-запросов,Wireless Access Framework,Web Analytics Filter,Worker Automation Framework,A,WAF анализирует HTTP-трафик и блокирует вредоносные запросы (SQLi XSS и др.) до того как они достигнут приложения.
platform,Архитектура платформы,multi,Какие меры защищают API платформы от несанкционированного доступа? (несколько ответов),Аутентификация через JWT или OAuth 2.0,HTTPS для шифрования трафика,Публичный доступ без ключей,Валидация и санитизация входных данных,ABD,Защита API: аутентификация (JWT/OAuth) шифрование (HTTPS) и валидация данных — публичный доступ без аутентификации недопустим для закрытых ресурсов.
platform,Архитектура платформы,text,Как называется распределённая атака направленная на исчерпание ресурсов сервера?,,,,,DDoS,DDoS (Distributed Denial of Service) — атака с множества скомпрометированных устройств (ботнет) с целью перегрузить сервер.